name,state_id,county_id,town_id,geo_id,lat,long,geometry
Brooklyn,09,015,09190,0901509190,41.78697937935689,-71.9543052617904,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-72.01800600000118, 41.78263500094042], [-72.01449100000117, 41.80498900094048], [-71.99196900000116, 41.80613300094045], [-71.99226200000118, 41.81852300094052], [-71.97762900000114, 41.818307000940514], [-71.97805800000117, 41.82088800094054], [-71.97666100000116, 41.824179000940525], [-71.97660500000117, 41.82676800094056], [-71.95870100000117, 41.82682300094055], [-71.93663800000117, 41.82689000094055], [-71.92191900000118, 41.82685600094056], [-71.90618100000117, 41.82681700094055], [-71.90738500000117, 41.82579600094054], [-71.90793700000116, 41.82326400094053], [-71.90686500000116, 41.82108100094053], [-71.90807700000116, 41.81772100094051], [-71.90889200000116, 41.816975000940495], [-71.91147800000117, 41.81634600094051], [-71.91391700000115, 41.81627000094052], [-71.91394700000116, 41.815301000940515], [-71.91139600000116, 41.814809000940514], [-71.90867000000115, 41.815705000940504], [-71.90658000000116, 41.8154480009405], [-71.90201300000116, 41.816649000940515], [-71.89955300000115, 41.81646600094051], [-71.89650300000115, 41.8139520009405], [-71.89527000000115, 41.812333000940484], [-71.89520000000117, 41.812222000940515], [-71.89513200000117, 41.810066000940495], [-71.89901300000115, 41.80754100094049], [-71.88724900000113, 41.80181400094046], [-71.88647400000116, 41.800719000940454], [-71.88572300000116, 41.79717000094045], [-71.88607900000116, 41.795582000940456], [-71.89012100000114, 41.792776000940435], [-71.88918400000117, 41.78848800094042], [-71.88864300000115, 41.786428000940404], [-71.88896400000118, 41.78487800094038], [-71.89060100000115, 41.783793000940385], [-71.90264100000117, 41.78061800094037], [-71.90399700000117, 41.77990900094037], [-71.90580900000116, 41.776472000940366], [-71.90570000000118, 41.773119000940355], [-71.90669400000115, 41.77166400094035], [-71.90842700000117, 41.77101700094036], [-71.91079400000115, 41.76810800094034], [-71.91351600000117, 41.76602200094031], [-71.91396100000117, 41.76409300094032], [-71.91560000000116, 41.76145800094031], [-71.91724100000114, 41.759714000940335], [-71.91803000000115, 41.75721600094029], [-71.91398700000116, 41.7544400009403], [-71.91291800000116, 41.7517640009403], [-71.91388000000114, 41.74843500094023], [-71.91530800000116, 41.746706000940264], [-71.91408800000116, 41.743922000940245], [-71.91394300000115, 41.74233000094026], [-71.96057100000118, 41.74950500094027], [-71.99768200000115, 41.755706000940286], [-71.99945200000118, 41.755768000940286], [-72.02290300000118, 41.759625000940325], [-72.01800600000118, 41.78263500094042]]]}}"
Stafford,09,013,72090,0901372090,41.98756304040892,-72.312228020109,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-72.40674600000118, 41.95716400094102], [-72.40442400000119, 41.97906900094107], [-72.40449000000119, 41.97980100094105], [-72.39743337454308, 42.033110717676756], [-72.36699176005028, 42.032654307265354], [-72.32182107141598, 42.031977064191224], [-72.3212667983315, 42.031968753987975], [-72.31714800000118, 42.03190700094125], [-72.27065613679979, 42.03171381478875], [-72.24952300000118, 42.03162600094125], [-72.24129015451878, 42.03152612427998], [-72.20508078345638, 42.03108685075104], [-72.21489400000118, 42.00009500094115], [-72.2164200000012, 41.99641800094115], [-72.22328300000117, 41.98166600094108], [-72.23489800000117, 41.95758300094101], [-72.23679300000117, 41.95829200094101], [-72.23661400000118, 41.95605000094098], [-72.23683800000117, 41.94545200094096], [-72.23632600000117, 41.94377300094095], [-72.23670500000118, 41.939863000940925], [-72.26048500000118, 41.94021600094091], [-72.29065700000118, 41.94063100094093], [-72.30098700000119, 41.94073500094095], [-72.3063130000012, 41.94070700094094], [-72.30684900000118, 41.940601000940944], [-72.3367680000012, 41.941210000940934], [-72.36679100000119, 41.94150100094095], [-72.37176400000119, 41.94180400094096], [-72.3915200000012, 41.941698000940946], [-72.40722600000119, 41.94139700094093], [-72.40674600000118, 41.95716400094102]]]}}"
Union,09,013,77830,0901377830,41.992974094496674,-72.1602717956576,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-72.22328300000117, 41.98166600094108], [-72.2164200000012, 41.99641800094115], [-72.21489400000118, 42.00009500094115], [-72.20508078345638, 42.03108685075104], [-72.19883212077936, 42.03101104517847], [-72.15008801739766, 42.030419706702354], [-72.14323025026049, 42.03033651178677], [-72.13571500000118, 42.030245340622834], [-72.13568700000116, 42.03024500094125], [-72.10216877719188, 42.02889946188927], [-72.10188000000117, 42.01680400094123], [-72.09952500000118, 41.966038000941055], [-72.09922900000117, 41.958948000941], [-72.12363200000118, 41.95898000094102], [-72.15165400000117, 41.95930200094101], [-72.19066100000117, 41.95914400094099], [-72.19528000000119, 41.95932200094099], [-72.21698000000117, 41.95816100094101], [-72.23489800000117, 41.95758300094101], [-72.22328300000117, 41.98166600094108]]]}}"
Chester,09,007,14300,0900714300,41.40593596037222,-72.48319245883053,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-72.53878200000119, 41.42149100093897], [-72.52415900000119, 41.424813000939025], [-72.50525100000121, 41.426839000939026], [-72.50302100000117, 41.42700100093902], [-72.45098300000119, 41.43366500093906], [-72.4450000000012, 41.43166200093904], [-72.43790200000117, 41.42827500093904], [-72.43593000000118, 41.42681700093905], [-72.43371000000118, 41.42399500093902], [-72.4261020000012, 41.41306900093897], [-72.42547900000119, 41.411656000938976], [-72.4251230000012, 41.40723700093894], [-72.42525000000118, 41.40198000093892], [-72.4256630000012, 41.400805000938924], [-72.43059100000119, 41.40140800093892], [-72.43176300000121, 41.40138600093893], [-72.4335580000012, 41.40179800093892], [-72.43661200000118, 41.40036900093893], [-72.4370720000012, 41.39776200093891], [-72.4393050000012, 41.39610300093889], [-72.44231300000119, 41.39258900093888], [-72.44676000000118, 41.39122500093889], [-72.45381800000119, 41.38874500093887], [-72.4599700000012, 41.38658700093886], [-72.4545710000012, 41.38237700093884], [-72.4985640000012, 41.37878900093881], [-72.5112130000012, 41.37741100093881], [-72.51568900000119, 41.37667500093882], [-72.52238200000119, 41.37653100093882], [-72.5240620000012, 41.376179000938805], [-72.52800700000121, 41.38832100093885], [-72.53878200000119, 41.42149100093897]]]}}"
North Branford,09,009,53890,0900953890,41.364532672752254,-72.77685576313561,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-72.8238050000012, 41.318428000938574], [-72.82324800000121, 41.3214510009386], [-72.82178000000121, 41.3257650009386], [-72.81895500000122, 41.335652000938644], [-72.8177520000012, 41.33998200093865], [-72.81700300000122, 41.363877000938764], [-72.81745300000121, 41.37752600093883], [-72.81772200000121, 41.39944900093891], [-72.8027530000012, 41.403921000938944], [-72.79862800000122, 41.40512900093892], [-72.79253000000122, 41.40747800093894], [-72.78241700000122, 41.41090500093897], [-72.77649300000121, 41.41336700093898], [-72.77372000000122, 41.41428400093897], [-72.74614100000122, 41.423297000938994], [-72.73801000000121, 41.42466900093901], [-72.72064000000121, 41.427397000939024], [-72.7214550000012, 41.423717000938986], [-72.7221590000012, 41.422923000938994], [-72.7233740000012, 41.419144000939], [-72.7281980000012, 41.41763700093898], [-72.73130600000121, 41.41418800093895], [-72.73281700000122, 41.41200200093894], [-72.74080400000122, 41.40433800093893], [-72.74274400000121, 41.403004000938935], [-72.74597100000122, 41.39690100093889], [-72.74929700000122, 41.39809000093888], [-72.74682400000121, 41.38255600093885], [-72.7459150000012, 41.3722340009388], [-72.7435970000012, 41.34664500093867], [-72.74361600000121, 41.34468500093869], [-72.74213400000122, 41.33456200093863], [-72.74145000000121, 41.323691000938595], [-72.7426790000012, 41.32085600093858], [-72.74572200000122, 41.31149600093854], [-72.74611000000121, 41.31063300093854], [-72.76468700000122, 41.306857000938514], [-72.77134200000121, 41.305093000938506], [-72.77504200000122, 41.30869700093853], [-72.78033700000123, 41.313018000938534], [-72.79917100000121, 41.324323000938605], [-72.81695400000122, 41.320094000938575], [-72.82241200000122, 41.31880300093856], [-72.82384300000122, 41.31832400093858], [-72.8238050000012, 41.318428000938574]]]}}"
Deep River,09,007,19130,0900719130,41.3689438777593,-72.4623037711785,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-72.52238200000119, 41.37653100093882], [-72.51568900000119, 41.37667500093882], [-72.5112130000012, 41.37741100093881], [-72.4985640000012, 41.37878900093881], [-72.4545710000012, 41.38237700093884], [-72.4599700000012, 41.38658700093886], [-72.45381800000119, 41.38874500093887], [-72.44676000000118, 41.39122500093889], [-72.44231300000119, 41.39258900093888], [-72.4393050000012, 41.39610300093889], [-72.4370720000012, 41.39776200093891], [-72.43661200000118, 41.40036900093893], [-72.4335580000012, 41.40179800093892], [-72.43176300000121, 41.40138600093893], [-72.43059100000119, 41.40140800093892], [-72.4256630000012, 41.400805000938924], [-72.42633900000118, 41.39878300093892], [-72.4257530000012, 41.39596800093891], [-72.42351400000119, 41.39188800093892], [-72.4216760000012, 41.39051000093889], [-72.41621300000118, 41.38934700093891], [-72.4117510000012, 41.38952400093886], [-72.40529500000119, 41.38844400093887], [-72.4020220000012, 41.388545000938855], [-72.3972460000012, 41.38766400093887], [-72.39489300000119, 41.38755000093886], [-72.3871800000012, 41.38605400093885], [-72.3848330000012, 41.385190000938856], [-72.38259400000119, 41.382480000938855], [-72.39415200000117, 41.37822000093882], [-72.39854200000119, 41.37751100093884], [-72.40895000000118, 41.37509800093881], [-72.4090280000012, 41.3750980009388], [-72.41293800000119, 41.37410500093882], [-72.4252300000012, 41.36449800093876], [-72.42713000000118, 41.363717000938756], [-72.44605700000119, 41.35617700093872], [-72.4689430000012, 41.345381000938694], [-72.4727240000012, 41.334209000938635], [-72.47693000000119, 41.334497000938654], [-72.4982330000012, 41.3475990009387], [-72.5011190000012, 41.3474610009387], [-72.5139500000012, 41.346403000938686], [-72.5240620000012, 41.376179000938805], [-72.52238200000119, 41.37653100093882]]]}}"
Vernon,09,013,78250,0901378250,41.83639860182841,-72.46063621688056,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-72.5064280000012, 41.81550600094047], [-72.50543000000118, 41.82029800094052], [-72.5052550000012, 41.8213080009405], [-72.50443500000121, 41.824674000940526], [-72.50263200000119, 41.83358900094057], [-72.49927300000121, 41.85027300094061], [-72.4968100000012, 41.860616000940645], [-72.49553700000119, 41.8659910009407], [-72.48503500000119, 41.86725600094067], [-72.4819280000012, 41.867796000940686], [-72.46440300000118, 41.869958000940684], [-72.4508160000012, 41.8716990009407], [-72.4381940000012, 41.8732790009407], [-72.43802000000117, 41.873299000940726], [-72.42801700000119, 41.8745980009407], [-72.42693900000118, 41.86740000094067], [-72.4252070000012, 41.85527200094069], [-72.4237260000012, 41.843049000940596], [-72.42152700000119, 41.82549800094052], [-72.42125700000119, 41.82423800094053], [-72.41889100000118, 41.80655900094049], [-72.4491280000012, 41.80209800094046], [-72.45514000000118, 41.80144800094045], [-72.4733880000012, 41.798277000940445], [-72.47346800000119, 41.79826400094044], [-72.4736400000012, 41.799141000940466], [-72.47602900000119, 41.812997000940484], [-72.4854040000012, 41.81223300094049], [-72.4873640000012, 41.8117510009405], [-72.50255900000121, 41.81017600094045], [-72.50753100000121, 41.80969800094047], [-72.5064280000012, 41.81550600094047]]]}}"
Hartland,09,003,37140,0900337140,42.00444012567234,-72.94857609590353,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-73.02053900000124, 42.00009400094113], [-73.00876430665994, 42.038860283139286], [-72.99954900000124, 42.03865300094127], [-72.97897863436852, 42.038510176422854], [-72.86373300000122, 42.03771000094126], [-72.86363841078831, 42.03770917121135], [-72.86381900000121, 42.03538300094125], [-72.87300100000122, 42.01162800094116], [-72.87454300000122, 42.008822000941144], [-72.87762000000122, 42.00016100094114], [-72.87761500000121, 41.99899100094112], [-72.87871400000124, 41.99587800094111], [-72.87948900000121, 41.994210000941116], [-72.88655800000122, 41.97472500094104], [-72.88661000000121, 41.97452700094104], [-72.88706000000123, 41.97312100094105], [-72.95776700000121, 41.97054800094105], [-73.00140100000124, 41.96837200094103], [-73.02953700000123, 41.96660600094102], [-73.02053900000124, 42.00009400094113]]]}}"
Newington,09,003,52140,0900352140,41.686991913624524,-72.73084406227001,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-72.76217900000123, 41.71834100094016], [-72.75945500000121, 41.718382000940174], [-72.7428330000012, 41.72069500094014], [-72.7405180000012, 41.721056000940166], [-72.73650900000122, 41.72126100094016], [-72.73343500000121, 41.72150300094014], [-72.73163900000122, 41.72180000094015], [-72.7261200000012, 41.722376000940166], [-72.71456100000121, 41.72363000094017], [-72.7141380000012, 41.723810000940176], [-72.71023300000122, 41.72418500094017], [-72.70593800000121, 41.724300000940154], [-72.70804000000122, 41.71037400094012], [-72.70631500000121, 41.70300700094009], [-72.70543800000122, 41.69923000094009], [-72.7053490000012, 41.69805400094005], [-72.7052370000012, 41.69529800094007], [-72.70324300000122, 41.688915000940035], [-72.70193500000121, 41.682634000940034], [-72.70038400000122, 41.67480100093997], [-72.7069400000012, 41.67371400093998], [-72.7065340000012, 41.67062800093998], [-72.7060390000012, 41.66879900093998], [-72.70300000000121, 41.65427100093992], [-72.7090710000012, 41.65315200093989], [-72.7152960000012, 41.652706000939894], [-72.7255350000012, 41.65233800093987], [-72.72735600000121, 41.65219700093989], [-72.72716300000121, 41.649484000939886], [-72.74987400000121, 41.64696500093988], [-72.7503570000012, 41.650167000939895], [-72.75051200000121, 41.6512010009399], [-72.7505520000012, 41.65394800093989], [-72.7519150000012, 41.6591560009399], [-72.7544270000012, 41.672096000939966], [-72.7575520000012, 41.688743000940036], [-72.75824100000122, 41.69343600094005], [-72.7590630000012, 41.698758000940074], [-72.76158600000122, 41.713334000940115], [-72.7622340000012, 41.71752400094013], [-72.76217900000123, 41.71834100094016]]]}}"
Avon,09,003,02060,0900302060,41.79068011315709,-72.85382075854824,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-72.92741400000122, 41.803707000940456], [-72.92425300000123, 41.80479400094044], [-72.92139100000122, 41.805194000940446], [-72.92118300000122, 41.807117000940465], [-72.91977000000122, 41.80695000094046], [-72.91736500000123, 41.807353000940445], [-72.91536100000123, 41.80756200094048], [-72.91585400000123, 41.81037800094047], [-72.88794900000121, 41.81390200094048], [-72.8858440000012, 41.81389100094048], [-72.87470500000123, 41.815647000940494], [-72.87020100000122, 41.8161300009405], [-72.86740600000124, 41.816404000940494], [-72.84470400000122, 41.819342000940495], [-72.84288800000122, 41.81945800094051], [-72.84002900000121, 41.82021600094051], [-72.82900000000123, 41.82138900094052], [-72.8228460000012, 41.822196000940515], [-72.81967900000122, 41.82232700094053], [-72.81930800000121, 41.822434000940504], [-72.81401500000122, 41.8231760009405], [-72.79855200000122, 41.82488500094051], [-72.79782900000122, 41.81431600094049], [-72.79832700000122, 41.81101600094048], [-72.79724100000122, 41.804699000940474], [-72.79795400000121, 41.79654500094043], [-72.79894200000123, 41.791926000940414], [-72.80004200000121, 41.79182700094039], [-72.7967420000012, 41.7587990009403], [-72.8041260000012, 41.75869400094028], [-72.82046100000122, 41.75794600094029], [-72.82774200000121, 41.759118000940305], [-72.85314400000122, 41.7620990009403], [-72.85789700000123, 41.762508000940294], [-72.86702700000122, 41.763724000940286], [-72.87321800000123, 41.764013000940324], [-72.87545300000122, 41.764505000940346], [-72.88093700000123, 41.76546800094033], [-72.88419100000122, 41.76559500094032], [-72.88979700000124, 41.76508200094029], [-72.89389800000122, 41.764875000940336], [-72.89523700000123, 41.764685000940304], [-72.90121700000122, 41.76869600094032], [-72.90107700000122, 41.77162500094034], [-72.90215800000122, 41.77512000094034], [-72.90405300000121, 41.77615400094036], [-72.90848000000122, 41.776043000940355], [-72.91765200000123, 41.77773900094038], [-72.92032800000123, 41.77938100094036], [-72.92159600000123, 41.782537000940344], [-72.92494600000121, 41.78778500094041], [-72.92454200000122, 41.78957400094042], [-72.92465900000123, 41.79261500094041], [-72.92552300000122, 41.79870200094045], [-72.92688000000123, 41.79980500094044], [-72.92808200000123, 41.80176500094044], [-72.92741400000122, 41.803707000940456]]]}}"
